Date,OPEN,HIGH,LOW,CLOSE,ORG_CLONE,DEL_MOS
1983-03-30,9.58868904,9.65550917,9.52186891,9.60539407,28.75,1983Z
1983-03-31,9.63880414,9.63880414,9.55527897,9.55527897,28.6,1983Z
1983-04-04,9.53857394,9.63880414,9.52186891,9.63880414,28.85,1983Z
1983-04-05,9.68891924,9.68891924,9.68891924,9.68891924,29.0,1983Z
1983-04-06,9.68891924,9.70562427,9.68891924,9.68891924,29.0,1983Z
1983-04-07,9.78914944,9.78914944,9.75573937,9.7724444,29.25,1983Z
1983-04-08,9.85596957,9.93949474,9.85596957,9.93949474,29.75,1983Z
1983-04-11,9.93949474,9.95619977,9.93949474,9.87935662,29.57,1983Z
1983-04-12,10.0230199,10.13995513,10.0230199,10.13995513,30.35,1983Z
1983-04-13,10.10654507,10.19007023,10.08984003,10.15666017,30.4,1983Z
1983-04-14,10.19007023,10.20677527,10.16334218,10.15666017,30.4,1983Z
1983-04-15,10.08984003,10.08984003,10.05642997,10.05642997,30.1,1983Z
1983-04-18,10.10654507,10.16668319,10.10654507,10.16668319,30.43,1983Z
1983-04-19,10.15666017,10.19007023,10.15666017,10.16668319,30.43,1983Z
1983-04-20,10.15666017,10.2234803,10.15666017,10.2234803,30.6,1983Z
1983-04-21,10.18338822,10.19007023,10.18338822,10.20677527,30.55,1983Z
1983-04-22,10.19007023,10.23016231,10.19007023,10.23016231,30.62,1983Z
1983-04-25,10.28361842,10.29698245,10.2735954,10.2735954,30.75,1983Z
1983-04-26,10.25689037,10.2735954,10.2234803,10.23016231,30.62,1983Z
1983-04-27,10.2234803,10.2735954,10.2234803,10.2735954,30.75,1983Z
1983-04-28,10.2735954,10.2735954,10.2234803,10.27025439,30.74,1983Z
1983-04-29,10.26691339,10.26691339,10.2234803,10.2234803,30.6,1983Z
1983-05-02,10.21679829,10.21679829,10.19675225,10.19675225,30.52,1983Z
1983-05-03,10.17670621,10.20009325,10.1232501,10.11322708,30.27,1983Z
1983-05-04,10.1232501,10.1232501,10.073135,10.08984003,30.2,1983Z
1983-05-05,10.00631487,10.05642997,9.98960984,10.00631487,29.95,1983Z
1983-05-06,9.9729048,9.9729048,9.8726746,9.9227897,29.7,1983Z
1983-05-09,9.95954078,9.9729048,9.8726746,9.9227897,29.7,1983Z
1983-05-10,9.90608467,9.93949474,9.90608467,9.93949474,29.75,1983Z
1983-05-11,9.87935662,9.87935662,9.85596957,9.8726746,29.55,1983Z
1983-05-12,9.8225595,9.83926454,9.78914944,9.80585447,29.35,1983Z
1983-05-13,9.81253648,9.83926454,9.78914944,9.80585447,29.35,1983Z
1983-05-16,9.85596957,9.95619977,9.85596957,9.9227897,29.7,1983Z
1983-05-17,9.91276668,9.96288178,9.88937964,9.92947172,29.72,1983Z
1983-05-18,9.90608467,9.9227897,9.85596957,9.9227897,29.7,1983Z
1983-05-19,9.93949474,9.93949474,9.90608467,9.93949474,29.75,1983Z
1983-05-20,10.00631487,10.05642997,9.98960984,10.01967889,29.99,1983Z
1983-05-23,10.02970191,10.10654507,10.02636091,10.02636091,30.01,1983Z
1983-05-24,9.98960984,9.98960984,9.95619977,9.95619977,29.8,1983Z
1983-05-25,10.00631487,10.00631487,10.00631487,10.00631487,29.95,1983Z
1983-05-26,10.073135,10.08984003,10.073135,10.05642997,30.1,1983Z
1983-05-27,10.02970191,10.05642997,10.0230199,10.0230199,30.0,1983Z
1983-05-31,9.97958682,10.073135,9.9729048,9.95619977,29.8,1983Z
1983-06-01,9.9729048,10.00631487,9.95619977,10.00631487,29.95,1983Z
1983-06-02,10.03972493,10.03972493,10.00631487,10.00631487,29.95,1983Z
1983-06-03,9.99629185,9.99629185,9.98960984,9.98960984,29.9,1983Z
1983-06-06,9.98960984,9.98960984,9.98960984,9.98960984,29.9,1983Z
1983-06-07,10.05642997,10.073135,10.05642997,10.05977097,30.11,1983Z
1983-06-08,10.073135,10.1232501,10.073135,10.10654507,30.25,1983Z
1983-06-09,10.11656809,10.1232501,10.08984003,10.08984003,30.2,1983Z
1983-06-10,10.1232501,10.1733652,10.1232501,10.16334218,30.42,1983Z
1983-06-13,10.19007023,10.24018533,10.19007023,10.24018533,30.65,1983Z
1983-06-14,10.2735954,10.34041553,10.25689037,10.24018533,30.65,1983Z
1983-06-15,10.25689037,10.30700547,10.25689037,10.30700547,30.85,1983Z
1983-06-16,10.34041553,10.39053063,10.34041553,10.34041553,30.95,1983Z
1983-06-17,10.31368748,10.40723566,10.2735954,10.30700547,30.85,1983Z
1983-06-20,10.36380258,10.44064573,10.35712056,10.3738256,31.05,1983Z
1983-06-21,10.29030043,10.3237105,10.29030043,10.29030043,30.8,1983Z
1983-06-22,10.30700547,10.30700547,10.23016231,10.24686735,30.67,1983Z
1983-06-23,10.30700547,10.3237105,10.29030043,10.30700547,30.85,1983Z
1983-06-24,10.29030043,10.32705151,10.29030043,10.3237105,30.9,1983Z
1983-06-27,10.33039251,10.34041553,10.3237105,10.34041553,30.95,1983Z
1983-06-28,10.31368748,10.35712056,10.29030043,10.3237105,30.9,1983Z
1983-06-29,10.30700547,10.3237105,10.29030043,10.3237105,30.9,1983Z
1983-06-30,10.35712056,10.39053063,10.35712056,10.3738256,31.05,1983Z
1983-07-01,10.3738256,10.3738256,10.35712056,10.3738256,31.05,1983Z
1983-07-05,10.35712056,10.35712056,10.34041553,10.35712056,31.0,1983Z
1983-07-06,10.31368748,10.3237105,10.25020835,10.30700547,30.85,1983Z
1983-07-07,10.31368748,10.35712056,10.30700547,10.35712056,31.0,1983Z
1983-07-08,10.33707453,10.35712056,10.33707453,10.35712056,31.0,1983Z
1983-07-11,10.41057667,10.44064573,10.41057667,10.43062271,31.22,1983Z
1983-07-12,10.44398674,10.45735076,10.44064573,10.45735076,31.3,1983Z
1983-07-13,10.53085291,10.59099103,10.50078385,10.574286,31.65,1983Z
1983-07-14,10.574286,10.574286,10.50746586,10.54755794,31.57,1983Z
1983-07-15,10.5241709,10.55089895,10.5241709,10.5241709,31.5,1983Z
1983-07-18,10.55089895,10.574286,10.51748888,10.5241709,31.5,1983Z
1983-07-19,10.55758096,10.55758096,10.46737378,10.55758096,31.6,1983Z
1983-07-20,10.574286,10.59099103,10.55758096,10.55758096,31.6,1983Z
1983-07-21,10.5241709,10.53085291,10.50746586,10.50746586,31.45,1983Z
1983-07-22,10.50078385,10.50078385,10.47071479,10.49410184,31.41,1983Z
1983-07-25,10.44064573,10.4740558,10.44064573,10.46069177,31.31,1983Z
1983-07-26,10.45735076,10.49076083,10.45735076,10.49076083,31.4,1983Z
1983-07-27,10.54087593,10.574286,10.54087593,10.54087593,31.55,1983Z
1983-07-28,10.55758096,10.58430902,10.55758096,10.574286,31.65,1983Z
1983-07-29,10.60769606,10.64110613,10.60769606,10.63108311,31.82,1983Z
1983-08-01,10.63108311,10.72463129,10.6244011,10.72463129,32.1,1983Z
1983-08-02,10.74467733,10.76138237,10.72463129,10.72463129,32.1,1983Z
1983-08-03,10.69122123,10.70792626,10.66783418,10.70792626,32.05,1983Z
1983-08-04,10.75135935,10.75804136,10.70792626,10.70792626,32.05,1983Z
1983-08-05,10.6778572,10.70792626,10.6778572,10.71126727,32.06,1983Z
1983-08-08,10.68788022,10.68788022,10.6745162,10.68788022,31.99,1983Z
1983-08-09,10.66783418,10.68119821,10.6244011,10.6277421,31.81,1983Z
1983-08-10,10.70458525,10.75804136,10.69122123,10.69122123,32.0,1983Z
1983-08-11,10.71460827,10.72129029,10.67117519,10.6778572,31.96,1983Z
1983-08-12,10.6745162,10.70458525,10.6745162,10.6745162,31.95,1983Z
1983-08-15,10.70124425,10.72463129,10.70124425,10.70458525,32.04,1983Z
1983-08-16,10.69790324,10.70458525,10.66783418,10.6745162,31.95,1983Z
1983-08-17,10.66449318,10.67117519,10.63108311,10.65781116,31.9,1983Z
1983-08-18,10.65447016,10.65781116,10.55758096,10.57094499,31.64,1983Z
1983-08-19,10.574286,10.59099103,10.54421694,10.55089895,31.58,1983Z
1983-08-22,10.51748888,10.55089895,10.51748888,10.5275119,31.51,1983Z
1983-08-23,10.53419392,10.574286,10.51414788,10.574286,31.65,1983Z
1983-08-24,10.60769606,10.63776512,10.5241709,10.53753492,31.54,1983Z
1983-08-25,10.56092197,10.59767304,10.5241709,10.58430902,31.68,1983Z
1983-08-26,10.60769606,10.6244011,10.60769606,10.60769606,31.75,1983Z
1983-08-29,10.60435506,10.60769606,10.55758096,10.56760398,31.63,1983Z
1983-08-30,10.57094499,10.58430902,10.54087593,10.574286,31.65,1983Z
1983-08-31,10.55089895,10.55758096,10.52082989,10.53419392,31.53,1983Z
1983-09-01,10.48407882,10.5241709,10.48407882,10.50078385,31.43,1983Z
1983-09-02,10.50746586,10.5241709,10.49076083,10.50078385,31.43,1983Z
1983-09-06,10.46403278,10.46737378,10.40389466,10.41725868,31.18,1983Z
1983-09-07,10.46403278,10.4740558,10.40723566,10.41725868,31.18,1983Z
1983-09-08,10.36714358,10.41725868,10.36714358,10.41725868,31.18,1983Z
1983-09-09,10.3738256,10.43396372,10.3738256,10.38050761,31.07,1983Z
1983-09-12,10.39387164,10.39721264,10.3237105,10.33373352,30.93,1983Z
1983-09-13,10.31368748,10.41391768,10.31368748,10.39387164,31.11,1983Z
1983-09-14,10.33707453,10.50746586,10.33707453,10.45735076,31.3,1983Z
1983-09-15,10.46403278,10.5275119,10.46403278,10.50078385,31.43,1983Z
1983-09-16,10.46403278,10.5241709,10.46403278,10.51414788,31.47,1983Z
1983-09-19,10.5275119,10.53753492,10.49076083,10.49744284,31.42,1983Z
1983-09-20,10.45066875,10.50746586,10.45066875,10.45066875,31.28,1983Z
1983-09-21,10.45066875,10.48741982,10.41725868,10.4740558,31.35,1983Z
1983-09-22,10.45066875,10.50078385,10.44064573,10.44064573,31.25,1983Z
1983-09-23,10.45066875,10.4773968,10.44398674,10.44732774,31.27,1983Z
1983-09-26,10.41725868,10.44064573,10.41725868,10.4239407,31.2,1983Z
1983-09-27,10.38384862,10.41725868,10.38384862,10.39387164,31.11,1983Z
1983-09-28,10.34709754,10.35712056,10.25689037,10.28361842,30.78,1983Z
1983-09-29,10.17002419,10.30700547,10.17002419,10.2234803,30.6,1983Z
1983-09-30,10.20677527,10.21011627,10.073135,10.13327312,30.33,1983Z
1983-10-03,10.10654507,10.10988607,9.93949474,9.95954078,29.81,1983Z
1983-10-04,9.90274366,10.13661413,9.8726746,10.04974795,30.08,1983Z
1983-10-05,10.18004721,10.25689037,10.05642997,10.073135,30.15,1983Z
1983-10-06,10.07981701,10.11656809,10.05642997,10.06645299,30.13,1983Z
1983-10-07,10.11656809,10.19007023,10.11322708,10.13995513,30.35,1983Z
1983-10-10,10.24686735,10.28361842,10.23016231,10.26691339,30.73,1983Z
1983-10-11,10.16334218,10.24018533,10.16334218,10.1733652,30.45,1983Z
1983-10-12,10.12993211,10.19341124,10.12993211,10.17670621,30.46,1983Z
1983-10-13,10.18338822,10.24352634,10.17670621,10.21345728,30.57,1983Z
1983-10-14,10.15666017,10.24018533,10.15666017,10.18338822,30.48,1983Z
1983-10-17,10.13327312,10.20343426,10.13327312,10.20009325,30.53,1983Z
1983-10-18,10.19341124,10.22013929,10.18338822,10.20677527,30.55,1983Z
1983-10-19,10.19675225,10.20343426,10.10654507,10.12993211,30.32,1983Z
1983-10-20,10.09318104,10.1232501,10.073135,10.1232501,30.3,1983Z
1983-10-21,10.1232501,10.15666017,10.10654507,10.13327312,30.33,1983Z
1983-10-24,10.16334218,10.18338822,10.15331916,10.17002419,30.44,1983Z
1983-10-25,10.14997815,10.18004721,10.14997815,10.16668319,30.43,1983Z
1983-10-26,10.09986305,10.1232501,10.08315802,10.09986305,30.23,1983Z
1983-10-27,10.09986305,10.13995513,10.08315802,10.12659111,30.31,1983Z
1983-10-28,10.09986305,10.16668319,10.09986305,10.10988607,30.26,1983Z
1983-10-31,10.07647601,10.15331916,10.07647601,10.14663715,30.37,1983Z
1983-11-01,10.16334218,10.16334218,10.12659111,10.14997815,30.38,1983Z
1983-11-02,10.13995513,10.17670621,10.13995513,10.13995513,30.35,1983Z
1983-11-03,10.15331916,10.18338822,10.15331916,10.16334218,30.42,1983Z
1983-11-04,10.16334218,10.20677527,10.13995513,10.17670621,30.46,1983Z
1983-11-07,10.16000117,10.17670621,10.14329614,10.15331916,30.39,1983Z
1983-11-08,10.14997815,10.16334218,10.12659111,10.14997815,30.38,1983Z
1983-11-09,10.13995513,10.18338822,10.13995513,10.14997815,30.38,1983Z
1983-11-10,10.11656809,10.1232501,10.08984003,10.10988607,30.26,1983Z
1983-11-11,10.12659111,10.12659111,10.05642997,10.06979399,30.14,1983Z
1983-11-14,10.04640695,10.09652205,10.04640695,10.073135,30.15,1983Z
1983-11-15,10.073135,10.073135,10.073135,10.073135,29.55,1984Z
1983-11-16,9.98791389,9.98791389,9.88564856,9.88564856,29.0,1984Z
1983-11-17,9.71520635,9.88564856,9.71520635,9.88564856,29.0,1984Z
1983-11-18,9.88564856,9.88564856,9.88564856,9.88564856,29.0,1984Z
1983-11-21,9.88564856,9.88564856,9.88564856,9.88564856,29.0,1984Z
1983-11-22,9.81747168,9.81747168,9.81747168,9.81747168,28.8,1984Z
1983-11-23,9.74929479,9.74929479,9.74929479,9.74929479,28.6,1984Z
1983-11-28,9.96064314,9.96064314,9.96064314,9.96064314,29.22,1984Z
1983-11-29,9.93678123,9.93678123,9.93678123,9.93678123,29.15,1984Z
1983-11-30,9.88564856,9.88564856,9.88564856,9.88564856,29.0,1984Z
1983-12-01,9.88564856,9.88564856,9.88564856,9.88564856,29.0,1984Z
1983-12-02,9.8345159,9.8345159,9.8345159,9.85156012,28.9,1984Z
1983-12-05,9.85156012,9.85156012,9.85156012,9.85156012,28.9,1984Z
1983-12-06,9.85156012,9.85156012,9.85156012,9.85156012,28.9,1984Z
1983-12-07,9.54476413,9.54476413,9.54476413,9.61294102,28.2,1984Z
1983-12-08,9.6811179,9.69816212,9.6811179,9.69816212,28.45,1984Z
1983-12-09,9.73225057,9.73225057,9.62998524,9.62998524,28.25,1984Z
1983-12-12,9.71520635,9.71520635,9.71520635,9.6811179,28.4,1984Z
1983-12-13,9.73225057,9.73225057,9.57885257,9.59589679,28.15,1984Z
1983-12-14,9.6811179,9.6811179,9.6811179,9.6811179,28.4,1984Z
1983-12-15,9.6811179,9.6811179,9.52771991,9.51067569,27.9,1984Z
1983-12-16,9.40841036,9.40841036,9.40841036,9.37432191,27.5,1984Z
1983-12-19,9.37432191,9.40841036,9.37432191,9.40841036,27.6,1984Z
1983-12-20,9.51067569,9.51067569,9.49363146,9.55839951,28.04,1984Z
1983-12-21,9.73225057,9.73225057,9.66407368,9.61294102,28.2,1984Z
1983-12-22,9.57885257,9.59589679,9.56180835,9.68452675,28.41,1984Z
1983-12-23,9.6811179,9.6811179,9.67770906,9.85156012,28.9,1984Z
1983-12-27,10.073135,10.073135,10.02200234,10.02200234,29.4,1984Z
1983-12-28,10.00495811,10.02200234,9.97086967,10.00495811,29.35,1984Z
1983-12-29,9.81065399,9.81065399,9.81065399,9.81065399,28.78,1984Z
1983-12-30,9.74929479,9.74929479,9.74929479,9.61294102,28.2,1984Z
1984-01-03,9.61294102,9.61294102,9.61294102,9.64702946,28.3,1984Z
1984-01-04,9.69816212,9.69816212,9.69816212,9.69816212,28.45,1984Z
1984-01-05,9.71520635,9.71520635,9.71520635,9.69816212,28.45,1984Z
1984-01-06,9.61294102,9.61294102,9.61294102,9.6811179,28.4,1984Z
1984-01-09,9.74929479,9.74929479,9.62998524,9.71520635,28.5,1984Z
1984-01-10,9.71520635,9.71520635,9.71520635,9.74929479,28.6,1984Z
1984-01-11,9.73225057,9.76633901,9.73225057,9.76633901,28.65,1984Z
1984-01-12,9.74929479,9.74929479,9.74929479,9.76633901,28.65,1984Z
1984-01-13,9.74929479,9.74929479,9.74929479,9.86860434,28.95,1984Z
1984-01-16,9.88564856,10.02200234,9.88564856,10.02200234,29.4,1984Z
1984-01-17,9.98791389,9.98791389,9.98791389,9.98791389,29.3,1984Z
1984-01-18,9.95382545,9.95382545,9.95382545,9.98791389,29.3,1984Z
1984-01-19,10.05609078,10.05609078,10.05609078,10.05609078,29.5,1984Z
1984-01-20,10.05609078,10.05609078,10.05609078,10.05609078,29.5,1984Z
1984-01-23,10.09017922,10.09017922,10.09017922,9.90269278,29.05,1984Z
1984-01-24,9.95382545,9.95382545,9.95382545,9.95382545,29.2,1984Z
1984-01-25,9.95382545,9.97086967,9.95382545,9.97086967,29.25,1984Z
1984-01-26,10.02200234,10.02200234,10.02200234,9.95382545,29.2,1984Z
1984-01-27,10.03904656,10.03904656,10.03904656,9.97086967,29.25,1984Z
1984-01-30,9.97086967,9.97086967,9.97086967,9.88564856,29.0,1984Z
1984-01-31,10.03904656,10.03904656,10.03904656,9.93678123,29.15,1984Z
1984-02-01,10.02200234,10.02200234,10.02200234,10.073135,29.55,1984Z
1984-02-02,10.10722344,10.14131189,10.10722344,10.14131189,29.75,1984Z
1984-02-03,10.15835611,10.15835611,10.15153842,10.15835611,29.8,1984Z
1984-02-06,10.11744998,10.15153842,10.11744998,10.1344942,29.73,1984Z
1984-02-07,10.073135,10.073135,10.073135,10.073135,29.55,1984Z
1984-02-08,10.09017922,10.09017922,10.05609078,10.05609078,29.5,1984Z
1984-02-09,9.95382545,10.02200234,9.95382545,9.95382545,29.2,1984Z
1984-02-10,9.97768736,9.98791389,9.97086967,9.96064314,29.22,1984Z
1984-02-13,9.97086967,9.97086967,9.86860434,9.86860434,28.95,1984Z
1984-02-14,10.17540033,10.17540033,9.8345159,9.88564856,29.0,1984Z
1984-02-15,9.87883087,9.88564856,9.87883087,9.88564856,29.0,1984Z
1984-02-16,9.89246625,9.89246625,9.89246625,9.89246625,29.02,1984Z
1984-02-17,9.98791389,9.98791389,9.98791389,9.95382545,29.2,1984Z
1984-02-21,9.95382545,9.95382545,9.95382545,9.95382545,29.2,1984Z
1984-02-22,9.97427852,9.97427852,9.97427852,9.97427852,29.26,1984Z
1984-02-23,9.95382545,9.95382545,9.95382545,9.98450505,29.29,1984Z
1984-02-24,10.05609078,10.05609078,10.05609078,10.05609078,29.5,1984Z
1984-02-27,10.3117541,10.39697521,10.3117541,10.3117541,30.25,1984Z
1984-02-28,10.25039491,10.27766566,10.226533,10.20267109,29.93,1984Z
1984-02-29,10.18562686,10.18562686,10.18562686,10.23675953,30.03,1984Z
1984-03-01,10.33902486,10.33902486,10.27766566,10.27766566,30.15,1984Z
1984-03-02,10.28448335,10.29470988,10.27766566,10.3117541,30.25,1984Z
1984-03-05,10.29470988,10.3117541,10.27766566,10.3117541,30.25,1984Z
1984-03-06,10.29130104,10.29470988,10.26743913,10.29470988,30.2,1984Z
1984-03-07,10.29470988,10.3117541,10.27766566,10.29470988,30.2,1984Z
1984-03-08,10.35606908,10.35606908,10.34584255,10.34584255,30.35,1984Z
1984-03-09,10.37993099,10.41742828,10.37993099,10.41401943,30.55,1984Z
1984-03-12,10.41401943,10.41401943,10.41401943,10.41401943,30.55,1984Z
1984-03-13,10.38674868,10.41401943,10.36288677,10.36970446,30.42,1984Z
1984-03-14,10.36288677,10.36288677,10.36288677,10.36288677,30.4,1984Z
1984-03-15,10.27766566,10.27766566,10.27766566,10.27766566,30.15,1984Z
1984-03-16,10.24357722,10.24357722,10.24357722,10.24357722,30.05,1984Z
1984-03-19,10.24357722,10.26062144,10.24357722,10.3117541,30.25,1984Z
1984-03-20,10.35947792,10.35947792,10.35947792,10.32879833,30.3,1984Z
1984-03-21,10.32879833,10.32879833,10.32198064,10.32198064,30.28,1984Z
1984-03-22,10.29470988,10.3117541,10.29470988,10.29470988,30.2,1984Z
1984-03-23,10.29470988,10.29470988,10.29470988,10.29470988,30.2,1984Z
1984-03-26,10.29470988,10.29470988,10.29470988,10.29470988,30.2,1984Z
1984-03-27,10.32879833,10.32879833,10.32879833,10.32879833,30.3,1984Z
1984-03-28,10.27766566,10.27766566,10.27766566,10.29470988,30.2,1984Z
1984-03-29,10.33561601,10.33561601,10.33561601,10.34584255,30.35,1984Z
1984-03-30,10.36629561,10.36629561,10.36629561,10.34584255,30.35,1984Z
1984-04-02,10.29470988,10.29470988,10.29470988,10.29470988,30.2,1984Z
1984-04-03,10.32879833,10.32879833,10.32879833,10.32879833,30.3,1984Z
1984-04-04,10.32879833,10.32879833,10.30493642,10.32879833,30.3,1984Z
1984-04-05,10.32879833,10.32879833,10.32879833,10.32879833,30.3,1984Z
1984-04-06,10.29470988,10.3117541,10.29470988,10.30834526,30.24,1984Z
1984-04-09,10.29811873,10.30834526,10.29130104,10.30834526,30.24,1984Z
1984-04-10,10.3424337,10.3424337,10.3424337,10.3424337,30.34,1984Z
1984-04-11,10.3424337,10.3424337,10.3424337,10.35266024,30.37,1984Z
1984-04-12,10.34584255,10.34584255,10.34584255,10.33561601,30.32,1984Z
1984-04-13,10.33561601,10.35947792,10.33561601,10.33561601,30.32,1984Z
1984-04-16,10.36288677,10.36288677,10.35606908,10.34925139,30.36,1984Z
1984-04-17,10.3424337,10.34584255,10.33220717,10.33561601,30.32,1984Z
1984-04-18,10.32879833,10.34584255,10.32879833,10.32879833,30.3,1984Z
1984-04-19,10.33220717,10.33220717,10.33220717,10.33561601,30.32,1984Z
1984-04-23,10.33561601,10.35266024,10.33561601,10.34925139,30.36,1984Z
1984-04-24,10.35606908,10.36970446,10.34925139,10.34925139,30.36,1984Z
1984-04-25,10.34925139,10.34925139,10.3424337,10.33220717,30.31,1984Z
1984-04-26,10.35947792,10.35947792,10.32198064,10.32198064,30.28,1984Z
1984-04-27,10.29811873,10.31516295,10.29811873,10.3117541,30.25,1984Z
1984-04-30,10.28448335,10.29130104,10.27766566,10.27766566,30.15,1984Z
1984-05-01,10.29811873,10.29811873,10.27425682,10.27766566,30.15,1984Z
1984-05-02,10.28107451,10.28107451,10.26062144,10.27766566,30.15,1984Z
1984-05-03,10.29130104,10.29130104,10.26743913,10.26743913,30.12,1984Z
1984-05-04,10.31857179,10.31857179,10.28789219,10.3117541,30.25,1984Z
1984-05-07,10.32198064,10.32879833,10.29470988,10.29470988,30.2,1984Z
1984-05-08,10.30493642,10.30493642,10.28789219,10.30152757,30.22,1984Z
1984-05-09,10.32538948,10.33561601,10.32538948,10.33561601,30.32,1984Z
1984-05-10,10.34584255,10.36629561,10.34584255,10.35606908,30.38,1984Z
1984-05-11,10.35606908,10.39015752,10.35606908,10.39015752,30.48,1984Z
1984-05-14,10.46174325,10.48219632,10.45151672,10.47537863,30.73,1984Z
1984-05-15,10.50605823,10.50605823,10.48219632,10.48560517,30.76,1984Z
1984-05-16,10.76172156,10.77194809,10.61855009,10.65263854,31.25,1984Z
1984-05-17,10.56741743,10.56741743,10.53332899,10.55037321,30.95,1984Z
1984-05-18,10.61173241,10.61173241,10.55037321,10.56741743,31.0,1984Z
1984-05-21,10.57764396,10.58105281,10.53332899,10.53673783,30.91,1984Z
1984-05-22,10.50605823,10.50605823,10.4958317,10.50605823,30.82,1984Z
1984-05-23,10.49242285,10.4958317,10.48219632,10.48219632,30.75,1984Z
1984-05-24,10.51628476,10.58446165,10.51628476,10.54014667,30.92,1984Z
1984-05-25,10.5878705,10.61514125,10.56059974,10.56059974,30.98,1984Z
1984-05-29,10.55037321,10.55037321,10.52992014,10.53332899,30.9,1984Z
1984-05-30,10.53332899,10.5571909,10.53332899,10.55037321,30.95,1984Z
1984-05-31,10.53332899,10.53332899,10.50946708,10.50946708,30.83,1984Z
1984-06-01,10.51287592,10.52992014,10.4651521,10.48219632,30.75,1984Z
1984-06-04,10.48560517,10.51628476,10.48219632,10.49924054,30.8,1984Z
1984-06-05,10.51628476,10.5265113,10.49924054,10.51969361,30.86,1984Z
1984-06-06,10.48219632,10.48219632,10.46174325,10.4651521,30.7,1984Z
1984-06-07,10.41742828,10.42765481,10.39015752,10.39015752,30.48,1984Z
1984-06-08,10.37993099,10.4037929,10.36288677,10.37993099,30.45,1984Z
1984-06-11,10.36970446,10.38333984,10.28448335,10.29130104,30.19,1984Z
1984-06-12,10.29130104,10.32538948,10.29130104,10.31516295,30.26,1984Z
1984-06-13,10.226533,10.30152757,10.226533,10.30152757,30.22,1984Z
1984-06-14,10.3117541,10.33902486,10.30834526,10.34584255,30.35,1984Z
1984-06-15,10.31516295,10.32879833,10.30152757,10.32879833,30.3,1984Z
1984-06-18,10.29130104,10.29470988,10.24357722,10.24357722,30.05,1984Z
1984-06-19,10.24698606,10.27084797,10.21971531,10.24698606,30.06,1984Z
